Waveform Number,UltraShort Number of Frames,UltraShort Number of bits,UltraShort Number of Input Bits,Short Number of Frames,Short Number of bits,Short Number of Input Bits,Medium Number of Frames,Medium Number of bits,Medium Number of Input Bits,Long Number of Frames,Long Number of bits,Long Number of Input Bits
0,-,-,-,40,80,40,144,288,144,576,1152,576
1,4,192,24,16,768,96,64,3072,384,256,12288,1536
2,4,192,48,16,768,192,64,3072,768,256,12288,3072
3,2,192,64,8,768,256,32,3072,1024,128,12288,4096
4,2,192,128,8,768,512,32,3072,2048,128,12288,8192
5,1,256,192,4,1024,768,16,4096,3072,64,16384,12288
6,1,512,384,4,2048,1536,16,8192,6144,64,32768,24576
7,1,768,576,4,3072,2304,16,12288,9216,64,49152,36864
8,1,1024,768,4,4096,3072,16,16384,12288,64,65536,49152
9,1,1280,960,4,5120,3840,16,20480,15360,64,81920,61440
10,1,1536,1152,4,6144,4608,16,24576,18432,64,98304,73728
11,1,2160,1920,4,8640,7680,16,34560,30720,64,138240,122880
12,1,2880,2560,4,11520,10240,16,46080,40960,64,184320,163840
13,1,512,288,4,2048,1152,16,8192,4608,64,32768,18432
